frame,time_seconds,detections,track_ids,mean_confidence
550,18.333,1,145,0.8491
551,18.367,1,145,0.86192
552,18.4,1,145,0.72851
553,18.433,1,136,0.49937
554,18.467,1,-1,0.4844
555,18.5,1,155,0.53251
556,18.533,1,155,0.79956
557,18.567,1,155,0.8318
558,18.6,1,155,0.89754
559,18.633,1,155,0.86728
560,18.667,1,155,0.86392
561,18.7,1,155,0.90273
562,18.733,1,155,0.72707
563,18.767,1,155,0.85718
564,18.8,1,155,0.88729
565,18.833,1,155,0.87858
566,18.867,1,150,0.84674
567,18.9,1,150,0.83868
568,18.933,1,150,0.84058
569,18.967,1,150,0.72384
570,19.0,1,150,0.83503
571,19.033,1,150,0.8633
572,19.067,1,150,0.89417
573,19.1,1,150,0.88215
574,19.133,1,150,0.89427
575,19.167,1,150,0.90115
576,19.2,1,150,0.88633
577,19.233,1,150,0.83514
578,19.267,1,150,0.89461
579,19.3,1,150,0.84844
580,19.333,1,150,0.86872
581,19.367,1,150,0.86531
582,19.4,1,150,0.85251
583,19.433,1,150,0.84687
584,19.467,1,150,0.86281
585,19.5,1,150,0.86217
586,19.533,1,150,0.82814
587,19.567,1,150,0.8672
588,19.6,1,150,0.73812
589,19.633,1,150,0.77863
590,19.667,1,150,0.74671
591,19.7,1,150,0.79198
592,19.733,1,150,0.82425
593,19.767,1,150,0.75942
594,19.8,1,150,0.7579
595,19.833,1,150,0.79488
596,19.867,1,150,0.70661
597,19.9,1,150,0.76049
598,19.933,1,150,0.7984
599,19.967,1,150,0.705
600,20.0,1,150,0.64064
601,20.033,1,150,0.66599
602,20.067,1,150,0.70623
603,20.1,1,150,0.6971
604,20.133,1,150,0.74384
605,20.167,1,150,0.71513
606,20.2,1,150,0.78751
607,20.233,1,150,0.76681
608,20.267,1,150,0.7824
609,20.3,1,150,0.79697
610,20.333,1,150,0.76382
611,20.367,1,150,0.76927
612,20.4,1,150,0.80094
613,20.433,1,150,0.79554
614,20.467,1,150,0.79828
615,20.5,1,150,0.80731
616,20.533,1,150,0.81429
617,20.567,1,150,0.81507
618,20.6,1,150,0.80675
619,20.633,1,150,0.7867
